weight,timestamp
1.91,2026-05-13 15:19:07.138112
8.34,2026-05-13 15:19:07.149112
-0.05,2026-05-13 15:19:07.160112
-4.41,2026-05-13 15:19:07.170112
-17.59,2026-05-13 15:19:07.181112
-1.36,2026-05-13 15:19:07.192112
-10.4,2026-05-13 15:19:07.203112
0.82,2026-05-13 15:19:07.214112
-13.89,2026-05-13 15:19:07.224112
-19.45,2026-05-13 15:19:07.235112
-14.54,2026-05-13 15:19:07.246112
-3.21,2026-05-13 15:19:07.257112
2.45,2026-05-13 15:19:07.267112
10.84,2026-05-13 15:19:07.278112
17.06,2026-05-13 15:19:07.289112
13.24,2026-05-13 15:19:07.300112
8.67,2026-05-13 15:19:07.310112
15.64,2026-05-13 15:19:07.321112
-0.6,2026-05-13 15:19:07.332112
-4.85,2026-05-13 15:19:07.343112
14.77,2026-05-13 15:19:07.359560
-12.15,2026-05-13 15:19:07.370560
-4.85,2026-05-13 15:19:07.381560
1.58,2026-05-13 15:19:07.392560
7.79,2026-05-13 15:19:07.402560
-5.93,2026-05-13 15:19:07.413560
7.9,2026-05-13 15:19:07.424560
16.18,2026-05-13 15:19:07.435560
22.72,2026-05-13 15:19:07.445560
-0.92,2026-05-13 15:19:07.456560
-21.84,2026-05-13 15:19:07.467560
-4.74,2026-05-13 15:19:07.478560
-10.29,2026-05-13 15:19:07.488560
1.04,2026-05-13 15:19:07.499560
2.35,2026-05-13 15:19:07.510560
-14.0,2026-05-13 15:19:07.521560
-4.08,2026-05-13 15:19:07.531560
-3.32,2026-05-13 15:19:07.542560
-11.06,2026-05-13 15:19:07.553560
8.67,2026-05-13 15:19:07.564560
2.02,2026-05-13 15:19:07.568935
-7.9,2026-05-13 15:19:07.579935
-8.44,2026-05-13 15:19:07.590935
-14.43,2026-05-13 15:19:07.601935
3.76,2026-05-13 15:19:07.611935
5.07,2026-05-13 15:19:07.622935
-22.17,2026-05-13 15:19:07.633935
-23.8,2026-05-13 15:19:07.644935
16.4,2026-05-13 15:19:07.654935
1.58,2026-05-13 15:19:07.665935
-7.24,2026-05-13 15:19:07.676935
-12.8,2026-05-13 15:19:07.687935
0.82,2026-05-13 15:19:07.697935
6.92,2026-05-13 15:19:07.708935
9.65,2026-05-13 15:19:07.719935
23.05,2026-05-13 15:19:07.730935
15.53,2026-05-13 15:19:07.740935
15.2,2026-05-13 15:19:07.751935
1.58,2026-05-13 15:19:07.762935
-2.56,2026-05-13 15:19:07.773935
4.09,2026-05-13 15:19:07.790555
17.06,2026-05-13 15:19:07.801555
-2.45,2026-05-13 15:19:07.812555
-6.04,2026-05-13 15:19:07.823555
4.2,2026-05-13 15:19:07.833555
7.25,2026-05-13 15:19:07.844555
11.72,2026-05-13 15:19:07.855555
-9.31,2026-05-13 15:19:07.866555
