weight,timestamp
10.35,2026-05-13 15:15:58.692057
1.75,2026-05-13 15:15:58.703057
1.64,2026-05-13 15:15:58.714057
7.63,2026-05-13 15:15:58.724057
3.6,2026-05-13 15:15:58.735057
5.78,2026-05-13 15:15:58.746057
-0.76,2026-05-13 15:15:58.757057
-4.36,2026-05-13 15:15:58.767057
-1.74,2026-05-13 15:15:58.778057
4.03,2026-05-13 15:15:58.789057
-4.46,2026-05-13 15:15:58.800057
-3.16,2026-05-13 15:15:58.810057
2.18,2026-05-13 15:15:58.821057
2.29,2026-05-13 15:15:58.832057
15.37,2026-05-13 15:15:58.843057
9.05,2026-05-13 15:15:58.853057
-1.2,2026-05-13 15:15:58.864057
-3.38,2026-05-13 15:15:58.875057
2.62,2026-05-13 15:15:58.886057
7.41,2026-05-13 15:15:58.896057
-12.53,2026-05-13 15:15:58.913298
-14.38,2026-05-13 15:15:58.924298
2.94,2026-05-13 15:15:58.935298
9.05,2026-05-13 15:15:58.945298
7.96,2026-05-13 15:15:58.956298
8.72,2026-05-13 15:15:58.967298
22.99,2026-05-13 15:15:58.978298
19.61,2026-05-13 15:15:58.988298
9.92,2026-05-13 15:15:58.999298
0.87,2026-05-13 15:15:59.010298
9.26,2026-05-13 15:15:59.021298
2.94,2026-05-13 15:15:59.031298
-2.83,2026-05-13 15:15:59.042298
6.1,2026-05-13 15:15:59.053298
9.15,2026-05-13 15:15:59.064298
12.64,2026-05-13 15:15:59.074298
-3.38,2026-05-13 15:15:59.085298
-3.7,2026-05-13 15:15:59.096298
-5.77,2026-05-13 15:15:59.107298
3.82,2026-05-13 15:15:59.117298
3.49,2026-05-13 15:15:59.121981
-5.77,2026-05-13 15:15:59.132981
3.92,2026-05-13 15:15:59.143981
11.12,2026-05-13 15:15:59.154981
12.42,2026-05-13 15:15:59.164981
4.8,2026-05-13 15:15:59.175981
0.44,2026-05-13 15:15:59.186981
-3.81,2026-05-13 15:15:59.197981
8.61,2026-05-13 15:15:59.207981
4.91,2026-05-13 15:15:59.218981
8.83,2026-05-13 15:15:59.229981
6.98,2026-05-13 15:15:59.240981
9.48,2026-05-13 15:15:59.250981
5.23,2026-05-13 15:15:59.261981
16.56,2026-05-13 15:15:59.272981
