weight,timestamp
-12.75,2026-05-13 14:26:03.294844
-12.64,2026-05-13 14:26:03.305844
-2.94,2026-05-13 14:26:03.316844
9.48,2026-05-13 14:26:03.326844
5.12,2026-05-13 14:26:03.337844
5.66,2026-05-13 14:26:03.348844
2.18,2026-05-13 14:26:03.359844
7.19,2026-05-13 14:26:03.369844
2.18,2026-05-13 14:26:03.380844
-3.16,2026-05-13 14:26:03.391844
-7.63,2026-05-13 14:26:03.402844
-0.87,2026-05-13 14:26:03.412844
-22.01,2026-05-13 14:26:03.423844
-16.56,2026-05-13 14:26:03.434844
9.7,2026-05-13 14:26:03.445844
5.34,2026-05-13 14:26:03.455844
2.18,2026-05-13 14:26:03.466844
-4.58,2026-05-13 14:26:03.477844
-19.07,2026-05-13 14:26:03.488844
-17.11,2026-05-13 14:26:03.499844
8.82,2026-05-13 14:26:03.504827
-5.45,2026-05-13 14:26:03.515827
6.32,2026-05-13 14:26:03.526827
-10.68,2026-05-13 14:26:03.537827
-15.04,2026-05-13 14:26:03.547827
-5.01,2026-05-13 14:26:03.558827
-1.42,2026-05-13 14:26:03.569827
-4.14,2026-05-13 14:26:03.580827
-0.55,2026-05-13 14:26:03.590827
6.97,2026-05-13 14:26:03.601827
-6.32,2026-05-13 14:26:03.612827
-2.07,2026-05-13 14:26:03.623827
10.24,2026-05-13 14:26:03.633827
2.29,2026-05-13 14:26:03.644827
1.2,2026-05-13 14:26:03.655827
-2.62,2026-05-13 14:26:03.666827
-1.64,2026-05-13 14:26:03.676827
-1.74,2026-05-13 14:26:03.687827
-6.54,2026-05-13 14:26:03.698827
18.41,2026-05-13 14:26:03.709827
10.89,2026-05-13 14:26:03.726608
10.35,2026-05-13 14:26:03.737608
16.12,2026-05-13 14:26:03.748608
-8.83,2026-05-13 14:26:03.759608
2.4,2026-05-13 14:26:03.769608
-5.34,2026-05-13 14:26:03.780608
-15.26,2026-05-13 14:26:03.791608
-14.93,2026-05-13 14:26:03.802608
-18.2,2026-05-13 14:26:03.813608
-19.18,2026-05-13 14:26:03.823608
