weight,timestamp
8.33,2026-05-13 14:29:36.404092
-5.72,2026-05-13 14:29:36.415092
-0.93,2026-05-13 14:29:36.426092
-1.47,2026-05-13 14:29:36.437092
-9.75,2026-05-13 14:29:36.447092
4.85,2026-05-13 14:29:36.458092
17.05,2026-05-13 14:29:36.469092
-7.68,2026-05-13 14:29:36.480092
0.38,2026-05-13 14:29:36.490092
-1.15,2026-05-13 14:29:36.501092
0.92,2026-05-13 14:29:36.512092
15.31,2026-05-13 14:29:36.523092
-5.39,2026-05-13 14:29:36.534092
-2.56,2026-05-13 14:29:36.544092
1.8,2026-05-13 14:29:36.555092
-9.75,2026-05-13 14:29:36.566092
5.17,2026-05-13 14:29:36.577092
9.86,2026-05-13 14:29:36.587092
-9.97,2026-05-13 14:29:36.598092
-8.12,2026-05-13 14:29:36.609092
-11.93,2026-05-13 14:29:36.614509
-8.99,2026-05-13 14:29:36.624509
-8.88,2026-05-13 14:29:36.635509
6.05,2026-05-13 14:29:36.646509
-6.27,2026-05-13 14:29:36.657509
-7.57,2026-05-13 14:29:36.667509
-3.65,2026-05-13 14:29:36.678509
-8.55,2026-05-13 14:29:36.689509
-12.15,2026-05-13 14:29:36.700509
-8.12,2026-05-13 14:29:36.710509
5.94,2026-05-13 14:29:36.721509
8.22,2026-05-13 14:29:36.732509
15.42,2026-05-13 14:29:36.743509
17.27,2026-05-13 14:29:36.753509
3.21,2026-05-13 14:29:36.764509
-1.8,2026-05-13 14:29:36.775509
1.91,2026-05-13 14:29:36.786509
5.07,2026-05-13 14:29:36.796509
10.95,2026-05-13 14:29:36.807509
10.3,2026-05-13 14:29:36.818509
7.68,2026-05-13 14:29:36.835992
7.35,2026-05-13 14:29:36.845992
3.21,2026-05-13 14:29:36.856992
2.45,2026-05-13 14:29:36.867992
10.08,2026-05-13 14:29:36.878992
14.11,2026-05-13 14:29:36.888992
-4.63,2026-05-13 14:29:36.899992
-1.47,2026-05-13 14:29:36.910992
9.21,2026-05-13 14:29:36.921992
13.89,2026-05-13 14:29:36.932992
3.43,2026-05-13 14:29:36.942992
-3.32,2026-05-13 14:29:36.953992
4.85,2026-05-13 14:29:36.964992
4.74,2026-05-13 14:29:36.975992
-3.0,2026-05-13 14:29:36.985992
-12.59,2026-05-13 14:29:36.996992
5.28,2026-05-13 14:29:37.007992
9.64,2026-05-13 14:29:37.018992
6.15,2026-05-13 14:29:37.028992
3.76,2026-05-13 14:29:37.039992
7.03,2026-05-13 14:29:37.048254
7.46,2026-05-13 14:29:37.057254
9.97,2026-05-13 14:29:37.067254
13.24,2026-05-13 14:29:37.078254
20.76,2026-05-13 14:29:37.089254
0.27,2026-05-13 14:29:37.100254
-10.73,2026-05-13 14:29:37.110254
-3.22,2026-05-13 14:29:37.121254
-10.95,2026-05-13 14:29:37.132254
2.12,2026-05-13 14:29:37.143254
2.01,2026-05-13 14:29:37.153254
0.82,2026-05-13 14:29:37.164254
-5.39,2026-05-13 14:29:37.175254
7.68,2026-05-13 14:29:37.186254
9.31,2026-05-13 14:29:37.196254
1.91,2026-05-13 14:29:37.207254
-6.27,2026-05-13 14:29:37.218254
-9.1,2026-05-13 14:29:37.229254
-0.38,2026-05-13 14:29:37.239254
-0.6,2026-05-13 14:29:37.250254
-5.94,2026-05-13 14:29:37.255711
-15.64,2026-05-13 14:29:37.266711
9.1,2026-05-13 14:29:37.276711
-1.25,2026-05-13 14:29:37.287711
-10.41,2026-05-13 14:29:37.298711
-4.63,2026-05-13 14:29:37.309711
-1.69,2026-05-13 14:29:37.320711
-1.25,2026-05-13 14:29:37.330711
14.87,2026-05-13 14:29:37.341711
-1.8,2026-05-13 14:29:37.352711
-13.78,2026-05-13 14:29:37.363711
-10.52,2026-05-13 14:29:37.373711
4.08,2026-05-13 14:29:37.384711
9.53,2026-05-13 14:29:37.395711
0.82,2026-05-13 14:29:37.406711
-8.55,2026-05-13 14:29:37.416711
-27.51,2026-05-13 14:29:37.427711
-5.5,2026-05-13 14:29:37.438711
6.48,2026-05-13 14:29:37.449711
13.13,2026-05-13 14:29:37.459711
-3.87,2026-05-13 14:29:37.477491
-2.67,2026-05-13 14:29:37.488491
-7.9,2026-05-13 14:29:37.499491
-20.21,2026-05-13 14:29:37.509491
11.71,2026-05-13 14:29:37.520491
28.71,2026-05-13 14:29:37.531491
12.8,2026-05-13 14:29:37.542491
-8.01,2026-05-13 14:29:37.552491
12.8,2026-05-13 14:29:37.563491
3.54,2026-05-13 14:29:37.574491
0.16,2026-05-13 14:29:37.585491
8.77,2026-05-13 14:29:37.595491
12.15,2026-05-13 14:29:37.606491
15.53,2026-05-13 14:29:37.617491
10.3,2026-05-13 14:29:37.628491
9.21,2026-05-13 14:29:37.638491
8.22,2026-05-13 14:29:37.649491
1.8,2026-05-13 14:29:37.660491
5.07,2026-05-13 14:29:37.671491
